antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,product_combination
frozenset({'frappuccino'}),frozenset({' grilled cheese sandwich'}),0.125,0.11666666666666667,0.03333333333333333,0.26666666666666666,2.2857142857142856,0.01875,1.2045454545454544,0.6428571428571428,frozenset({'frappuccino'}) -> frozenset({' grilled cheese sandwich'})
frozenset({' grilled cheese sandwich'}),frozenset({'frappuccino'}),0.11666666666666667,0.125,0.03333333333333333,0.2857142857142857,2.2857142857142856,0.01875,1.2249999999999999,0.6367924528301887,frozenset({' grilled cheese sandwich'}) -> frozenset({'frappuccino'})
frozenset({'americano'}),frozenset({' avocado toast'}),0.13333333333333333,0.058333333333333334,0.041666666666666664,0.3125,5.357142857142857,0.033888888888888885,1.3696969696969696,0.9384615384615385,frozenset({'americano'}) -> frozenset({' avocado toast'})
frozenset({' avocado toast'}),frozenset({'americano'}),0.058333333333333334,0.13333333333333333,0.041666666666666664,0.7142857142857142,5.357142857142857,0.033888888888888885,3.0333333333333323,0.8637168141592919,frozenset({' avocado toast'}) -> frozenset({'americano'})
frozenset({'latte'}),frozenset({' iced tea'}),0.13333333333333333,0.1,0.03333333333333333,0.25,2.5,0.019999999999999997,1.2,0.6923076923076922,frozenset({'latte'}) -> frozenset({' iced tea'})
frozenset({' iced tea'}),frozenset({'latte'}),0.1,0.13333333333333333,0.03333333333333333,0.3333333333333333,2.5,0.019999999999999997,1.2999999999999998,0.6666666666666666,frozenset({' iced tea'}) -> frozenset({'latte'})
frozenset({' almond cake'}),frozenset({'latte'}),0.1,0.13333333333333333,0.03333333333333333,0.3333333333333333,2.5,0.019999999999999997,1.2999999999999998,0.6666666666666666,frozenset({' almond cake'}) -> frozenset({'latte'})
frozenset({'latte'}),frozenset({' almond cake'}),0.13333333333333333,0.1,0.03333333333333333,0.25,2.5,0.019999999999999997,1.2,0.6923076923076922,frozenset({'latte'}) -> frozenset({' almond cake'})
frozenset({' egg sandwich'}),frozenset({' blueberry muffin'}),0.14166666666666666,0.15833333333333333,0.03333333333333333,0.23529411764705882,1.4860681114551084,0.010902777777777779,1.1006410256410257,0.38106796116504854,frozenset({' egg sandwich'}) -> frozenset({' blueberry muffin'})
frozenset({' blueberry muffin'}),frozenset({' egg sandwich'}),0.15833333333333333,0.14166666666666666,0.03333333333333333,0.2105263157894737,1.4860681114551084,0.010902777777777779,1.0872222222222223,0.3886138613861386,frozenset({' blueberry muffin'}) -> frozenset({' egg sandwich'})
frozenset({' egg sandwich'}),frozenset({' croissant'}),0.14166666666666666,0.23333333333333334,0.03333333333333333,0.23529411764705882,1.0084033613445378,0.00027777777777777957,1.0025641025641026,0.009708737864077732,frozenset({' egg sandwich'}) -> frozenset({' croissant'})
frozenset({' croissant'}),frozenset({' egg sandwich'}),0.23333333333333334,0.14166666666666666,0.03333333333333333,0.14285714285714285,1.0084033613445378,0.00027777777777777957,1.0013888888888889,0.010869565217391375,frozenset({' croissant'}) -> frozenset({' egg sandwich'})
frozenset({'iced coffee'}),frozenset({' egg sandwich'}),0.11666666666666667,0.14166666666666666,0.041666666666666664,0.3571428571428571,2.5210084033613445,0.025138888888888888,1.3351851851851853,0.6830188679245284,frozenset({'iced coffee'}) -> frozenset({' egg sandwich'})
frozenset({' egg sandwich'}),frozenset({'iced coffee'}),0.14166666666666666,0.11666666666666667,0.041666666666666664,0.29411764705882354,2.5210084033613445,0.025138888888888888,1.2513888888888889,0.7029126213592233,frozenset({' egg sandwich'}) -> frozenset({'iced coffee'})
frozenset({'cappuccino'}),frozenset({' iced tea'}),0.175,0.1,0.03333333333333333,0.1904761904761905,1.9047619047619049,0.015833333333333335,1.111764705882353,0.5757575757575759,frozenset({'cappuccino'}) -> frozenset({' iced tea'})
frozenset({' iced tea'}),frozenset({'cappuccino'}),0.1,0.175,0.03333333333333333,0.3333333333333333,1.9047619047619049,0.015833333333333335,1.2374999999999998,0.5277777777777778,frozenset({' iced tea'}) -> frozenset({'cappuccino'})
frozenset({'iced coffee'}),frozenset({' croissant'}),0.11666666666666667,0.23333333333333334,0.03333333333333333,0.2857142857142857,1.2244897959183672,0.006111111111111109,1.0733333333333333,0.20754716981132068,frozenset({'iced coffee'}) -> frozenset({' croissant'})
frozenset({' croissant'}),frozenset({'iced coffee'}),0.23333333333333334,0.11666666666666667,0.03333333333333333,0.14285714285714285,1.2244897959183672,0.006111111111111109,1.0305555555555554,0.23913043478260862,frozenset({' croissant'}) -> frozenset({'iced coffee'})
frozenset({'cappuccino'}),frozenset({' croissant'}),0.175,0.23333333333333334,0.041666666666666664,0.2380952380952381,1.0204081632653061,0.0008333333333333318,1.00625,0.0242424242424242,frozenset({'cappuccino'}) -> frozenset({' croissant'})
frozenset({' croissant'}),frozenset({'cappuccino'}),0.23333333333333334,0.175,0.041666666666666664,0.17857142857142855,1.0204081632653061,0.0008333333333333318,1.0043478260869565,0.026086956521739084,frozenset({' croissant'}) -> frozenset({'cappuccino'})
frozenset({'espresso'}),frozenset({' croissant'}),0.15833333333333333,0.23333333333333334,0.05,0.31578947368421056,1.3533834586466167,0.013055555555555556,1.1205128205128205,0.31023102310231027,frozenset({'espresso'}) -> frozenset({' croissant'})
frozenset({' croissant'}),frozenset({'espresso'}),0.23333333333333334,0.15833333333333333,0.05,0.2142857142857143,1.3533834586466167,0.013055555555555556,1.0712121212121213,0.3405797101449276,frozenset({' croissant'}) -> frozenset({'espresso'})
