TransactionID,Items,TotalCost,UserID
1,"Peach Iced Tea, Lemon Green Coffee",470,5918
2,"Red Velvet Cake Shake, Flat White",510,2853
3,"Donut, Hot Tea Latte, Baguette, Herbal Tea, Pudding, Peach Iced Tea, Red Velvet Cake Shake, Gourmet Belgian Hot Chocolate",1660,136
4,"Macchiato, Pasta, Cake, Panini, Iced Tea Latte, Filter Coffee, Brownie, Pudding",1680,9904
5,Vanilla Cappuccino,240,1994
6,Espresso,150,5355
7,"Alphonso Mango Frappe, Espresso, Elaichi Tea, Cheesecake Shake, Pudding, Flavoured Ice Cream",1310,694
8,"Tacos, Brioche, Hot Velvet Coffee, Granola Bar, Peach Iced Tea, Eclair, Cappuccino",1450,7354
9,"Danish, Flavoured Ice Cream, Pizza",770,2012
10,"Cake, Watermelon Granita",440,8547
11,"Cake, Flat White, Soup, Baguette, Cookie, Muffin",990,3149
12,"Earl Grey Orange Tea, Cappuccino, Iced Tea Latte, Affogato, Filter Coffee",1010,8675
13,"Peach Iced Tea, Long Macchiato",450,351
14,"Crackling Brownie Pastry, Iced Latte, Vanilla Cappuccino, Flat White",940,5012
15,"Salad, Iced Cappuccino, Pudding, Earl Grey Orange Tea, Baguette",1030,7063
16,"Lemon Cake Shake, Iced Mocha, Earl Grey Orange Tea",730,7974
17,"Iced Latte, Green Tea, Long Macchiato",670,708
18,"Pizza, Donut, Flat White",680,6294
19,"Eclair, Watermelon Mojito",430,4419
20,"Granola Bar, Classic Lemonade, Watermelon Granita, Cake, Mousse",970,2771
21,"Herbal Tea, Iced Tea Latte",430,3325
22,"Black Eye, Classic Lemonade, Iced Latte",600,820
23,"Flat White, Tropical Iceberg, Donut, Crunchy Frappe, Gourmet Belgian Cold Chocolate",1140,5926
24,"Eclair, Cutlet",330,2496
25,"Classic Lemonade, Hot Tea Latte, Gourmet Belgian Cold Chocolate, Elaichi Tea, Peach Iced Tea, Flavoured Ice Cream, Masala Tea",1530,4029
26,"Iced Tea Latte, Lemon Green Coffee, Hot Velvet Coffee, Panini",1020,5247
27,"Green Tea, Vegan Shake, Iced Cappuccino",710,160
28,"Black Eye, Hot Tea Latte, Sandwich, Breve, Turmeric Ginger Cappuccino",1150,1397
29,"Ginger Tea, Macchiato, Eclair",560,4643
30,"Cafe Latte, Soup",380,8958
31,"Burrito, Green Tea, Lemon Cake Shake, Macchiato, Soup, Cupcake, Vanilla Latte",1500,3113
32,"Brownie, Vanilla Latte, Iced Latte, Cafe Latte, Earl Grey Orange Tea, Soup",1270,6245
33,"Iced Mocha, Crackling Brownie Pastry, Salad, Alphonso Mango Frappe, Vanilla Cappuccino, Hot Tea Latte, Sandwich",1690,4157
34,"Dark Frappe, Crunchy Frappe, Baguette, Sandwich, Pudding, Cupcake, Croissant, Donut",1440,3288
35,"Scone, Black Eye, Crunchy Frappe, Vegan Shake, Filter Coffee, Macchiato, Herbal Tea, Red Eye",1470,3757
36,"Cocoa Fantasy Pastry, Red Velvet Cake Shake, Iced Mocha, Vanilla Latte, Affogato, Scone",1380,4786
37,"Earl Grey Orange Tea, Vanilla Latte, Masala Tea, Panini, Eclair, Vienna, Popcorn, Mousse",1630,9936
38,"Vanilla Latte, Americano",450,768
39,"Earl Grey Orange Tea, Filter Coffee, Flat White, Dark Frappe, Breve, Vanilla Latte",1280,8359
