Date,Product Name,Ingredient,Quantity Sold,Temperature,Day of Week,Holiday,Promotion
2023-01-03,Iced Latte,Milk,215,31,Tuesday,1,0
2023-02-17,Hazelnut Brownie Cake Shake,Milk,278,36,Friday,0,0
2023-11-08,Tropical Iceberg,Pineapple,166,31,Wednesday,0,1
2023-09-25,Eclair,Cream,190,28,Monday,1,0
2023-05-11,Affogato,Espresso,191,23,Thursday,0,0
2023-02-21,Pizza,Cheese,254,27,Tuesday,1,1
2023-10-16,Muffin,Flour,238,28,Monday,1,0
2023-03-20,Breve,Espresso,184,27,Monday,1,1
2023-09-17,Cookie,Flour,276,22,Sunday,0,0
2023-07-11,Peach Iced Tea,Ice,272,37,Tuesday,1,1
2023-02-06,Vanilla Latte,Espresso,106,32,Monday,0,1
2023-12-06,Tropical Iceberg,Coconut,123,23,Wednesday,0,0
2023-11-09,Mango Frappe,Mango,126,24,Thursday,1,0
2023-03-02,Brownie,Sugar,132,23,Thursday,1,1
2023-03-29,Dark Frappe,Ice,90,19,Wednesday,1,0
2023-12-01,Cocoa Fantasy Pastry,Chocolate,178,34,Friday,1,1
2023-07-25,Tropical Iceberg,Ice,194,17,Tuesday,1,0
2023-06-04,Pizza,Dough,125,32,Sunday,1,1
2023-04-14,Mousse,Eggs,153,36,Friday,0,1
2023-08-14,Tropical Iceberg,Ice,208,19,Monday,1,1
2023-04-11,Pizza,Dough,101,15,Tuesday,0,1
2023-05-15,Tacos,Tortilla,234,29,Monday,0,1
2023-12-25,Iced Cappuccino,Milk,265,31,Monday,0,1
2023-05-23,Pudding,Milk,290,21,Tuesday,0,1
2023-02-12,Cutlet,Meat,93,27,Sunday,1,0
2023-08-02,Ginger Tea,Tea,70,16,Wednesday,0,1
2023-09-23,Flavoured Ice Cream,Sugar,280,38,Saturday,1,0
2023-08-25,Pasta,Tomato,108,37,Friday,0,1
2023-10-24,Popcorn,Corn,138,37,Tuesday,0,1
2023-07-05,Cookie,Sugar,234,27,Wednesday,0,1
2023-06-09,Muffin,Sugar,216,27,Friday,1,0
2023-12-11,Donut,Sugar,248,21,Monday,1,0
2023-02-08,Mango Frappe,Ice,139,16,Wednesday,0,1
2023-01-28,Iced Cappuccino,Milk,185,37,Saturday,0,0
2023-07-15,Classic Lemonade,Sugar,229,30,Saturday,0,0
2023-10-01,Filter Coffee,Coffee,68,29,Sunday,0,0
2023-02-19,Hot Velvet Coffee,Milk,256,27,Sunday,1,1
2023-04-13,Croissant,Flour,127,32,Thursday,0,1
2023-04-25,Pudding,Milk,181,24,Tuesday,0,1
2023-02-21,Pizza,Cheese,254,27,Tuesday,1,1
2023-09-13,Salad,Lettuce,236,32,Wednesday,0,0
2023-12-10,Lemon Green Coffee,Coffee,200,33,Sunday,0,1
2023-09-12,Sandwich,Cheese,262,15,Tuesday,1,1
2023-07-03,Dark Frappe,Chocolate,164,40,Monday,1,1
2023-04-12,Muffin,Flour,207,19,Wednesday,1,0
2023-06-30,Pineapple Delight Pastry,Pineapple,205,18,Friday,1,1
2023-10-24,Popcorn,Corn,138,37,Tuesday,0,1
2023-08-19,Baguette,Flour,243,21,Saturday,0,1
2023-10-25,Red Velvet Cake Shake,Milk,117,25,Wednesday,1,0
2023-07-05,Cookie,Sugar,234,27,Wednesday,0,1
2023-11-21,Tropical Iceberg,Coconut,227,22,Tuesday,0,0
2023-12-19,Watermelon Granita,Ice,171,17,Tuesday,1,1
2023-08-21,Elaichi Tea,Tea,95,16,Monday,1,0
2023-08-17,Watermelon Mojito,Lime,196,24,Thursday,0,1
2023-05-19,Panini,Ham,97,33,Friday,1,0
2023-04-17,Turmeric Ginger Cappuccino,Ginger,58,22,Monday,0,0
2023-04-10,Macchiato,Milk,118,35,Monday,1,0
2023-07-31,Herbal Tea,Herbs,234,39,Monday,0,0
2023-11-12,Cafe Latte,Espresso,121,22,Sunday,0,0
2023-07-03,Dark Frappe,Chocolate,164,40,Monday,1,1
2023-01-17,Sandwich,Cheese,52,15,Tuesday,1,0
2023-09-18,Cake,Flour,225,38,Monday,0,1
2023-03-22,Scone,Butter,165,38,Wednesday,0,0
2023-07-23,Brioche,Eggs,108,35,Sunday,0,1
2023-07-30,Cafe Latte,Milk,179,28,Sunday,1,1
2023-11-24,Lemon Cake Shake,Lemon Cake,182,25,Friday,1,1
2023-04-11,Pizza,Cheese,293,31,Tuesday,0,0
2023-04-03,Iced Latte,Espresso,159,28,Monday,0,1
2023-07-25,Tropical Iceberg,Pineapple,269,39,Tuesday,1,0
2023-08-18,Gourmet Belgian Hot Chocolate,Chocolate,299,38,Friday,0,0
2023-09-02,Affogato,Espresso,105,20,Saturday,1,0
2023-05-20,Long Black,Water,132,23,Saturday,1,1
2023-04-02,Lemon Cake Shake,Lemon Cake,53,40,Sunday,0,1
2023-02-16,Classic Lemonade,Water,233,27,Thursday,1,0
2023-07-19,Iced Tea Latte,Ice,81,28,Wednesday,1,1
2023-04-24,Cake,Sugar,266,22,Monday,0,1
2023-10-27,Cupcake,Flour,73,35,Friday,1,0
2023-03-09,Vegan Shake,Banana,293,39,Thursday,0,1
2023-04-01,Cappuccino,Foam,206,15,Saturday,1,1
2023-12-12,Sandwich,Cheese,237,34,Tuesday,1,0
2023-10-31,Cake,Eggs,125,36,Tuesday,0,0
2023-04-17,Turmeric Ginger Cappuccino,Ginger,58,22,Monday,0,0
2023-08-07,Macaron,Almond Flour,97,17,Monday,0,0
2023-07-07,Panini,Bread,70,31,Friday,1,1
2023-01-01,Breve,Milk,202,38,Sunday,0,0
2023-06-02,Donut,Flour,219,31,Friday,1,1
2023-03-20,Breve,Espresso,184,27,Monday,1,1
2023-03-08,Eclair,Chocolate,190,15,Wednesday,0,0
2023-10-28,Flat White,Milk,90,40,Saturday,1,0
2023-01-26,Cupcake,Eggs,137,29,Thursday,1,0
2023-06-25,Cortado,Espresso,295,21,Sunday,1,1
2023-11-17,Pudding,Milk,230,26,Friday,0,0
2023-04-16,Crackling Brownie Pastry,Chocolate,247,26,Sunday,0,0
2023-01-21,Pasta,Pasta,139,16,Saturday,0,0
2023-08-19,Baguette,Flour,243,21,Saturday,0,1
2023-12-30,Mango Frappe,Ice,251,27,Saturday,0,1
2023-07-26,Popcorn,Butter,134,19,Wednesday,0,1
2023-07-23,Brioche,Flour,195,26,Sunday,1,1
2023-09-13,Salad,Cucumber,219,35,Wednesday,1,1
2023-09-19,Cake,Eggs,116,26,Tuesday,0,0
2023-02-22,Donut,Flour,66,40,Wednesday,0,0
2023-09-11,Pineapple Delight Pastry,Butter,205,26,Monday,1,1
2023-08-14,Tropical Iceberg,Pineapple,173,25,Monday,1,1
2023-08-17,Watermelon Mojito,Watermelon,148,24,Thursday,0,0
2023-02-13,Panini,Bread,191,36,Monday,1,1
2023-03-08,Eclair,Cream,65,31,Wednesday,1,0
2023-05-30,Turmeric Ginger Cappuccino,Milk,61,15,Tuesday,0,1
2023-11-15,Cafe Latte,Milk,136,34,Wednesday,1,0
2023-11-27,Affogato,Espresso,120,23,Monday,0,0
2023-06-03,Iced Coffee,Milk,56,18,Saturday,1,0
2023-04-04,Iced Cappuccino,Espresso,69,37,Tuesday,0,0
2023-01-25,Peach Iced Tea,Peach,240,24,Wednesday,0,1
2023-08-19,Baguette,Flour,243,21,Saturday,0,1
2023-04-09,Elaichi Tea,Tea,283,40,Sunday,0,1
2023-07-06,Gourmet Belgian Cold Chocolate,Ice,190,23,Thursday,0,0
2023-11-16,Eclair,Cream,222,24,Thursday,0,1
2023-09-13,Salad,Cucumber,219,35,Wednesday,1,1
2023-03-04,Peach Iced Tea,Ice,213,33,Saturday,0,1
2023-02-28,Breve,Espresso,138,22,Tuesday,0,1
2023-06-08,Iced Mocha,Espresso,191,18,Thursday,1,0
2023-07-02,Panini,Bread,210,32,Sunday,0,1
2023-01-17,Sandwich,Bread,157,40,Tuesday,0,1
2023-02-13,Panini,Bread,191,36,Monday,1,1
2023-12-29,Tropical Iceberg,Ice,168,27,Friday,0,1
2023-02-10,Classic Lemonade,Sugar,153,22,Friday,0,0
2023-01-19,Cupcake,Sugar,235,24,Thursday,0,1
2023-06-08,Iced Mocha,Chocolate,290,17,Thursday,1,0
2023-06-18,Espresso,Milk,83,21,Sunday,0,0
2023-05-09,Cappuccino,Foam,268,32,Tuesday,0,0
2023-05-17,Pineapple Delight Pastry,Butter,172,28,Wednesday,0,1
2023-07-01,Turmeric Ginger Cappuccino,Turmeric,192,36,Saturday,0,0
2023-10-18,Black Eye,Coffee,290,34,Wednesday,1,1
2023-03-16,Red Eye,Coffee,230,17,Thursday,1,0
2023-09-30,Cookie,Flour,89,20,Saturday,0,0
2023-06-20,Mousse,Eggs,83,20,Tuesday,1,1
2023-11-23,Crackling Brownie Pastry,Chocolate,145,39,Thursday,1,1
2023-01-02,Flat White,Espresso,242,26,Monday,0,1
2023-11-01,Cookie,Sugar,209,24,Wednesday,1,1
2023-02-14,Pizza,Dough,103,32,Tuesday,1,1
2023-02-03,Turmeric Ginger Cappuccino,Ginger,263,34,Friday,0,1
2023-08-12,Peach Iced Tea,Peach,94,24,Saturday,1,1
2023-10-02,Tropical Iceberg,Ice,239,27,Monday,0,0
2023-08-29,Iced Latte,Ice,132,33,Tuesday,1,1
2023-03-23,Americano,Water,108,37,Thursday,0,1
2023-04-19,Pasta,Cheese,51,40,Wednesday,0,1
2023-05-18,Gourmet Belgian Cold Chocolate,Ice,62,22,Thursday,0,0
2023-02-28,Breve,Cream,184,22,Tuesday,0,1
2023-12-24,Red Eye,Espresso,69,31,Sunday,1,1
2023-09-11,Pineapple Delight Pastry,Butter,205,26,Monday,1,1
2023-11-26,Tacos,Meat,247,38,Sunday,0,0
2023-11-23,Crackling Brownie Pastry,Chocolate,145,39,Thursday,1,1
2023-08-05,Vienna,Coffee,231,23,Saturday,1,0
2023-12-27,Iced Mocha,Chocolate,147,39,Wednesday,0,1
2023-02-19,Hot Velvet Coffee,Coffee,228,24,Sunday,0,0
2023-06-18,Espresso,Coffee,200,39,Sunday,0,0
2023-02-14,Pizza,Cheese,178,29,Tuesday,1,0
2023-11-21,Tropical Iceberg,Pineapple,130,30,Tuesday,0,1
2023-12-26,Red Velvet Cake Shake,Red Velvet Cake,296,40,Tuesday,0,1
2023-11-11,Filter Coffee,Coffee,207,21,Saturday,0,1
2023-05-19,Panini,Bread,268,21,Friday,1,0
2023-02-06,Vanilla Latte,Milk,256,23,Monday,0,1
2023-11-13,Cheesecake Shake,Cheesecake,232,39,Monday,1,0
2023-04-06,Cheesecake Shake,Milk,240,40,Thursday,1,0
2023-09-25,Eclair,Cream,190,28,Monday,1,0
2023-04-10,Macchiato,Espresso,120,32,Monday,1,0
2023-07-05,Cookie,Chocolate Chips,139,15,Wednesday,0,0
2023-05-24,Hot Velvet Coffee,Milk,205,23,Wednesday,1,1
2023-10-03,Long Black,Coffee,52,27,Tuesday,0,0
2023-08-25,Pasta,Tomato,108,37,Friday,0,1
2023-07-18,Black Eye,Espresso,137,32,Tuesday,0,1
2023-03-16,Red Eye,Milk,211,23,Thursday,0,0
2023-09-30,Cookie,Sugar,60,37,Saturday,0,0
2023-02-14,Pizza,Dough,103,32,Tuesday,1,1
2023-12-31,Cake,Sugar,79,16,Sunday,1,0
2023-09-08,Cake,Sugar,173,27,Friday,0,0
2023-06-26,Mango Frappe,Mango,175,27,Monday,0,0
2023-05-27,Iced Tea Latte,Milk,61,32,Saturday,1,1
2023-05-22,Salad,Tomato,146,28,Monday,1,0
2023-10-17,Iced Latte,Ice,271,15,Tuesday,0,1
2023-07-16,Tropical Iceberg,Pineapple,182,35,Sunday,1,0
2023-11-03,Watermelon Granita,Watermelon,225,31,Friday,0,0
2023-08-17,Watermelon Mojito,Lime,196,24,Thursday,0,1
2023-08-03,Herbal Tea,Herbs,173,16,Thursday,0,1
2023-08-27,Red Velvet Cake Shake,Milk,130,36,Sunday,1,1
2023-10-29,Macaron,Almond Flour,79,29,Sunday,0,1
2023-02-07,Vanilla Latte,Vanilla,248,28,Tuesday,1,0
2023-09-23,Flavoured Ice Cream,Flavouring,196,25,Saturday,0,0
2023-12-23,Iced Tea Latte,Ice,258,15,Saturday,1,1
2023-11-21,Tropical Iceberg,Coconut,227,22,Tuesday,0,0
2023-07-13,Red Eye,Milk,196,15,Thursday,1,1
2023-06-04,Pizza,Dough,125,32,Sunday,1,1
2023-06-20,Mousse,Chocolate,276,29,Tuesday,0,1
2023-12-20,Iced Cappuccino,Milk,59,22,Wednesday,0,1
2023-10-12,Crackling Brownie Pastry,Chocolate,158,34,Thursday,1,0
2023-06-10,Crackling Brownie Pastry,Flour,266,16,Saturday,1,1
2023-01-29,Granola Bar,Honey,76,35,Sunday,1,0
2023-06-06,Bagel,Yeast,112,34,Tuesday,1,0
2023-04-27,Panini,Cheese,291,26,Thursday,0,1
2023-12-10,Lemon Green Coffee,Lemon,119,23,Sunday,1,0
2023-12-04,Espresso,Coffee,216,35,Monday,0,0
2023-08-29,Iced Latte,Milk,275,34,Tuesday,1,1
2023-11-19,Vanilla Cappuccino,Milk,283,21,Sunday,0,1
2023-02-27,Quiche,Cheese,245,16,Monday,1,0
2023-08-13,Gourmet Belgian Hot Chocolate,Chocolate,76,38,Sunday,0,1
2023-04-13,Croissant,Butter,214,25,Thursday,0,0
