UserID,Product,Review,Sentiment,Ratings
1021,Eclair,"The Eclair exceeded my expectations, will buy again!",POSITIVE,3
1022,Bagel,"I found the Bagel to be just okay, not great.",NEGATIVE,1
1023,Tropical Iceberg,"I found the Tropical Iceberg to be just okay, not great.",NEGATIVE,1
1024,Filter Coffee,"The Filter Coffee is amazing, highly recommend it!",POSITIVE,3
1025,Cookie,"I found the Cookie to be just okay, not great.",NEGATIVE,1
1026,Red Eye,"Not a fan of the Red Eye, it didn't suit my preferences.",NEGATIVE,1
1027,Muffin,"The Muffin could be better, but it's not bad.",POSITIVE,3
1028,Pizza,"The Pizza is fantastic, a great addition to the menu.",POSITIVE,3
1029,Salad,"The Salad is amazing, highly recommend it!",POSITIVE,3
1030,Danish,I didn't enjoy the Danish as much as I'd hoped.,NEGATIVE,1
1031,Baguette,"The Baguette exceeded my expectations, will buy again!",POSITIVE,3
1032,Macchiato,"I found the Macchiato to be just okay, not great.",NEGATIVE,1
1033,Alphonso Mango Frappe,I didn't enjoy the Alphonso Mango Frappe as much as I'd hoped.,NEGATIVE,1
1034,Bagel,The Bagel is too strong for my taste.,NEGATIVE,1
1035,Crackling Brownie Pastry,I didn't enjoy the Crackling Brownie Pastry as much as I'd hoped.,NEGATIVE,1
1036,Pasta,"Absolutely loved the Pasta, perfect for any day.",POSITIVE,3
1037,Hot Tea Latte,I didn't enjoy the Hot Tea Latte as much as I'd hoped.,NEGATIVE,1
1038,Popcorn,"The Popcorn is fantastic, a great addition to the menu.",POSITIVE,3
1039,Crunchy Frappe,"The Crunchy Frappe exceeded my expectations, will buy again!",POSITIVE,3
1040,Popcorn,"The Popcorn is fantastic, a great addition to the menu.",POSITIVE,3
1041,Pasta,"Not a fan of the Pasta, it didn't suit my preferences.",NEGATIVE,1
1042,Vienna,"The Vienna is fantastic, a great addition to the menu.",POSITIVE,3
1043,Pizza,"Absolutely loved the Pizza, perfect for any day.",POSITIVE,3
1044,Cafe Latte,"Not a fan of the Cafe Latte, it didn't suit my preferences.",NEGATIVE,1
1045,Flat White,"The Flat White could be better, but it's not bad.",POSITIVE,3
1046,Filter Coffee,The Filter Coffee is too strong for my taste.,NEGATIVE,1
1047,Iced Latte,I didn't enjoy the Iced Latte as much as I'd hoped.,NEGATIVE,1
1048,Gourmet Belgian Cold Chocolate,The Gourmet Belgian Cold Chocolate is too strong for my taste.,NEGATIVE,1
1049,Americano,"The Americano was just what I needed, excellent choice.",POSITIVE,3
1050,Iced Latte,"The Iced Latte is fantastic, a great addition to the menu.",POSITIVE,3
1051,Scone,"The Scone was just what I needed, excellent choice.",POSITIVE,3
1052,Eclair,"The Eclair is amazing, highly recommend it!",POSITIVE,3
1053,Macaron,"The Macaron exceeded my expectations, will buy again!",POSITIVE,3
1054,Brownie,"Not a fan of the Brownie, it didn't suit my preferences.",NEGATIVE,1
1055,Donut,I didn't enjoy the Donut as much as I'd hoped.,NEGATIVE,1
1056,Masala Tea,"The Masala Tea is amazing, highly recommend it!",POSITIVE,3
1057,Pizza,"The Pizza is amazing, highly recommend it!",POSITIVE,3
1058,Quiche,I didn't enjoy the Quiche as much as I'd hoped.,NEGATIVE,1
1059,Crackling Brownie Pastry,"The Crackling Brownie Pastry is amazing, highly recommend it!",POSITIVE,3
1060,Americano,I didn't enjoy the Americano as much as I'd hoped.,NEGATIVE,1
1061,Popcorn,"The Popcorn was just what I needed, excellent choice.",POSITIVE,3
1062,Vanilla Latte,"The Vanilla Latte exceeded my expectations, will buy again!",POSITIVE,3
1063,Classic Lemonade,"I found the Classic Lemonade to be just okay, not great.",NEGATIVE,1
1064,Crackling Brownie Pastry,"The Crackling Brownie Pastry is amazing, highly recommend it!",POSITIVE,3
1065,Vanilla Latte,"Absolutely loved the Vanilla Latte, perfect for any day.",POSITIVE,3
1066,Granola Bar,"The Granola Bar is fantastic, a great addition to the menu.",POSITIVE,3
